load,time_index
0.045,92.0
0.046,93.0
0.047,94.0
0.051,95.0
0.042,0.0
0.084,1.0
0.086,2.0
0.069,3.0
0.072,4.0
0.077,5.0
0.06,6.0
0.061,7.0
0.058,8.0
0.055,9.0
0.073,10.0
0.059,11.0
0.05,12.0
0.06,13.0
0.067,14.0
0.064,15.0
0.073,16.0
0.066,17.0
0.074,18.0
0.076,19.0
0.075,20.0
0.053,21.0
0.081,22.0
0.081,23.0
0.085,24.0
0.061,25.0
0.064,26.0
0.079,27.0
0.079,28.0
0.063,29.0
0.077,30.0
0.067,31.0
0.076,32.0
0.083,33.0
0.089,34.0
0.094,35.0
0.091,36.0
0.094,37.0
0.096,38.0
0.075,39.0
0.085,40.0
0.071,41.0
0.097,42.0
0.074,43.0
0.079,44.0
0.093,45.0
0.085,46.0
0.092,47.0
0.09,48.0
0.075,49.0
0.091,50.0
0.081,51.0
0.094,52.0
0.086,53.0
0.083,54.0
0.07,55.0
0.075,56.0
0.074,57.0
0.074,58.0
0.068,59.0
0.072,60.0
0.072,61.0
0.083,62.0
0.08,63.0
0.066,64.0
0.068,65.0
0.069,66.0
0.07,67.0
0.072,68.0
0.079,69.0
0.072,70.0
0.088,71.0
0.067,72.0
0.086,73.0
0.078,74.0
0.091,75.0
0.089,76.0
0.064,77.0
0.071,78.0
0.089,79.0
0.077,80.0
0.061,81.0
0.085,82.0
0.068,83.0
0.063,84.0
0.081,85.0
0.064,86.0
0.082,87.0
0.071,88.0
0.079,89.0
0.068,90.0
0.066,91.0
0.077,92.0
0.067,93.0
0.064,94.0
0.076,95.0
0.078,0.0
0.069,1.0
0.074,2.0
0.07,3.0
0.072,4.0
0.063,5.0
0.073,6.0
0.067,7.0
0.054,8.0
0.046,9.0
0.056,10.0
0.048,11.0
0.061,12.0
0.05,13.0
0.05,14.0
0.067,15.0
0.073,16.0
0.05,17.0
0.076,18.0
0.051,19.0
0.059,20.0
0.059,21.0
0.062,22.0
0.058,23.0
0.066,24.0
0.083,25.0
0.083,26.0
0.082,27.0
0.086,28.0
0.082,29.0
0.089,30.0
0.06,31.0
0.062,32.0
0.063,33.0
0.074,34.0
0.063,35.0
0.066,36.0
0.068,37.0
0.076,38.0
0.091,39.0
0.07,40.0
0.082,41.0
0.088,42.0
0.074,43.0
0.065,44.0
0.067,45.0
0.086,46.0
0.064,47.0
0.06,48.0
0.085,49.0
0.062,50.0
0.082,51.0
0.074,52.0
0.083,53.0
0.064,54.0
0.063,55.0
0.081,56.0
0.064,57.0
0.069,58.0
0.092,59.0
0.078,60.0
0.091,61.0
0.078,62.0
0.086,63.0
0.072,64.0
0.058,65.0
0.084,66.0
0.054,67.0
0.084,68.0
0.081,69.0
0.06,70.0
0.061,71.0
0.075,72.0
0.081,73.0
0.057,74.0
0.06,75.0
0.054,76.0
0.06,77.0
0.078,78.0
0.067,79.0
0.068,80.0
0.067,81.0
0.056,82.0
