seed,testBestMSE,testMedianMSE,smallestConstant,highestConstant,minDepth,maxDepth,fullGrow,grow,popSize,localSearchGens,perturbGens,cycles,tournamentSize,prematureLeafProbability,mutationRate,crossoverRate,tuneConstantProbability,parsimonyPressure,freezeElitePercent,runtimeS,bestIndividual,hitsPerGen
1001600_canonical0,0.011873579,0.012684331,-2,2,3,7,60,60,600,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,223.24838,"ADD( MUL( ADD( ADD( SQUARE( SUB( x1,DIV( MUL( SQUARE( DIV( SQUARE( ADD( -1.248249,x0 ) ),0.496763 ) ),SQUARE( x4 ) ),SUB( -1.565332,x0 ) ) ) ),ADD( DIV( SUB( x3,x0 ),x0 ),MUL( x0,ADD( x2,1.236562 ) ) ) ),ADD( x4,x2 ) ),MUL( x0,0.180911 ) ),ADD( SQUARE( DIV( x2,ADD( ADD( SUB( DIV( SQUARE( x3 ),0.955133 ),-1.048366 ),ADD( x2,x2 ) ),1.284068 ) ) ),SQUARE( 0.496763 ) ) )",[ 0 0 0 0 0 0 0 0 0 0 0 1 5 11 17 17 26 29 52 77 108 181 263 325 368 397 420 408 412 385 375 402 411 421 431 444 440 450 439 432 423 414 431 437 420 410 402 404 393 386 406 417 412 426 416 ]
1001_600_SB1,0.011238838,0.012003389,-2,2,3,7,60,60,600,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,216.24869,"SUB( x1,DIV( MUL( SQUARE( SQUARE( -0.774752 ) ),SUB( MUL( SUB( DIV( 0.975782,x3 ),ADD( x6,ADD( x3,MUL( -1.869381,x1 ) ) ) ),DIV( x1,DIV( 0.693306,x3 ) ) ),ADD( ADD( x2,MUL( -1.993349,x1 ) ),ADD( ADD( 0.162403,x5 ),x0 ) ) ) ),ADD( x0,DIV( 0.975782,0.693306 ) ) ) )",[ 0 0 0 0 0 0 0 0 0 0 0 1 3 7 14 24 31 46 69 98 129 161 197 226 276 306 332 310 342 325 343 370 373 364 400 397 392 406 413 403 423 423 409 414 424 396 389 405 396 394 409 375 428 428 427 404 420 424 ]
1001450_canonical2,0.012338287,0.012901923,-2,2,3,7,45,45,450,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,80.16577,"ADD( 0.338175,ADD( MUL( ADD( 0.338175,ADD( MUL( x0,-0.284268 ),MUL( ADD( 0.338175,ADD( MUL( ADD( 0.338175,ADD( MUL( ADD( x0,ADD( ADD( x2,-0.047302 ),ADD( x0,x4 ) ) ),SUB( x4,x0 ) ),MUL( x2,x1 ) ) ),-0.284268 ),MUL( x2,ADD( x2,ADD( MUL( x1,-0.284268 ),MUL( x2,x0 ) ) ) ) ) ),ADD( 0.338175,ADD( MUL( ADD( 0.338175,ADD( MUL( ADD( x0,ADD( ADD( x2,-0.047302 ),MUL( x4,x0 ) ) ),SUB( x4,x0 ) ),MUL( x2,x1 ) ) ),-0.284268 ),MUL( x2,ADD( 0.338175,ADD( MUL( x1,-0.284268 ),MUL( x2,x0 ) ) ) ) ) ) ) ) ),-0.284268 ),MUL( x2,x0 ) ) )",[ 0 0 0 0 0 0 0 0 1 2 2 4 6 7 11 15 14 24 24 30 33 27 37 35 42 62 66 71 107 133 154 192 212 226 274 296 296 310 320 333 333 344 338 340 337 327 368 357 346 348 349 375 361 379 373 ]
1001_450_SB3,0.012359296,0.01274314,-2,2,3,7,45,45,450,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,64.087,"ADD( 0.338175,ADD( MUL( ADD( ADD( 0.338175,MUL( MUL( ADD( -0.284268,1.929420 ),SUB( x2,x3 ) ),x0 ) ),MUL( x0,MUL( MUL( MUL( ADD( ADD( 0.338175,ADD( 0.338175,MUL( MUL( ADD( x0,2.355620 ),SUB( x2,x3 ) ),MUL( x2,x0 ) ) ) ),2.227373 ),MUL( MUL( x2,x0 ),x0 ) ),SQUARE( x0 ) ),ADD( 0.338175,ADD( MUL( ADD( ADD( 0.338175,MUL( MUL( ADD( -0.284268,1.929420 ),SUB( x2,x3 ) ),x0 ) ),MUL( x0,MUL( MUL( MUL( ADD( ADD( 0.338175,ADD( 0.338175,MUL( MUL( x2,x0 ),MUL( x2,x0 ) ) ) ),2.227373 ),MUL( MUL( x2,x0 ),MUL( x2,MUL( x0,x0 ) ) ) ),SQUARE( x0 ) ),x0 ) ) ),-0.284268 ),MUL( x2,x0 ) ) ) ) ) ),-0.284268 ),MUL( x2,x0 ) ) )",[ 0 0 0 0 0 0 0 0 1 2 2 5 4 7 11 16 28 37 39 42 39 33 39 62 50 59 59 60 67 76 107 103 130 138 167 190 210 230 263 259 273 284 295 314 312 315 314 328 322 341 330 358 336 347 354 343 338 343 ]
1001300_canonical4,0.012237145,0.012620877,-2,2,3,7,30,30,300,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,61.79999,"ADD( 0.530496,ADD( ADD( -0.522072,0.226212 ),MUL( ADD( ADD( -0.364439,ADD( 0.530496,ADD( ADD( ADD( -0.522072,0.226212 ),MUL( ADD( ADD( -0.364439,ADD( 0.530496,ADD( ADD( -0.522072,x2 ),MUL( x0,x1 ) ) ) ),ADD( 0.530496,ADD( ADD( ADD( -0.522072,MUL( 0.226212,x6 ) ),0.226212 ),MUL( 0.530496,ADD( -0.522072,0.226212 ) ) ) ) ),ADD( 0.530496,ADD( ADD( -0.522072,0.226212 ),0.226212 ) ) ) ),MUL( x0,x1 ) ) ) ),ADD( 0.530496,ADD( ADD( ADD( -0.522072,MUL( 0.226212,x6 ) ),0.226212 ),MUL( 0.530496,ADD( -0.522072,0.226212 ) ) ) ) ),ADD( 0.530496,ADD( ADD( -0.522072,0.226212 ),0.226212 ) ) ) ) )",[ 0 0 0 1 4 11 12 14 17 15 11 8 18 28 29 16 20 23 25 27 27 22 34 34 32 35 35 40 44 53 43 43 51 53 58 74 92 112 124 141 135 148 155 175 182 183 213 209 193 201 204 201 198 205 187 ]
1001_300_SB5,0.012560565,0.013344616,-2,2,3,7,30,30,300,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,51.99665,"SUB( SUB( ADD( 0.530496,ADD( ADD( -0.522072,0.226212 ),MUL( x0,x1 ) ) ),MUL( SQUARE( SUB( 0.454087,x0 ) ),x0 ) ),MUL( SQUARE( MUL( ADD( x0,x1 ),ADD( -0.857696,0.226212 ) ) ),MUL( DIV( DIV( x0,x1 ),SUB( SUB( ADD( 0.530496,ADD( ADD( SQUARE( x1 ),0.226212 ),MUL( 0.530496,x1 ) ) ),MUL( SQUARE( 0.454087 ),x0 ) ),MUL( SQUARE( SUB( SUB( x4,0.226212 ),x1 ) ),MUL( SQUARE( x1 ),SQUARE( x0 ) ) ) ) ),MUL( x1,SUB( x1,x3 ) ) ) ) )",[ 0 0 0 1 4 11 12 14 17 15 11 14 18 13 14 17 23 19 22 14 10 9 18 20 24 27 21 21 30 38 54 75 100 117 150 174 185 190 195 174 177 189 169 184 184 188 193 182 191 190 214 209 214 223 206 220 213 206 ]
1002600_canonical6,0.012639171,0.015737229,-2,2,3,7,60,60,600,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,48.5836,"MUL( ADD( x0,MUL( MUL( ADD( x0,SUB( -1.667626,x4 ) ),MUL( -0.612235,MUL( ADD( x3,x0 ),MUL( -0.612235,-0.801857 ) ) ) ),SUB( SQUARE( 1.205699 ),x0 ) ) ),MUL( -0.612235,-0.801857 ) )",[ 0 0 0 0 1 2 1 3 1 2 3 3 2 4 8 10 8 11 20 15 13 21 20 18 28 31 24 26 15 9 14 14 15 10 19 23 24 26 32 40 38 47 51 60 70 69 60 62 77 80 102 123 153 186 257 ]
1002_600_SB7,0.012989109,0.013251423,-2,2,3,7,60,60,600,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,123.73126,"ADD( MUL( MUL( SUB( x6,1.502167 ),DIV( SUB( x6,x0 ),MUL( 1.918159,-0.960381 ) ) ),x6 ),ADD( MUL( MUL( x0,SUB( x0,x3 ) ),DIV( MUL( -0.982293,x6 ),ADD( SQUARE( x6 ),x1 ) ) ),x0 ) )",[ 0 0 0 0 1 2 1 3 1 2 3 3 3 3 7 8 6 5 4 7 5 6 10 8 10 8 8 9 9 11 21 24 39 64 108 157 232 322 381 389 404 403 415 393 425 444 445 463 453 468 457 440 439 458 452 433 424 454 ]
1002450_canonical8,0.011545453,0.01243058,-2,2,3,7,45,45,450,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,173.62593,"DIV( SUB( ADD( SUB( DIV( -0.402621,-0.826692 ),MUL( x3,-1.947062 ) ),MUL( SQUARE( -1.357137 ),ADD( x1,DIV( SQUARE( MUL( -0.007305,DIV( DIV( MUL( -0.844901,SUB( DIV( x2,x1 ),DIV( x4,-0.981864 ) ) ),SQUARE( DIV( -0.844901,x0 ) ) ),SQUARE( SUB( ADD( SUB( DIV( -0.402621,-0.826692 ),DIV( SQUARE( MUL( -0.007305,DIV( MUL( SUB( 0.263948,0.967223 ),SUB( SQUARE( -0.937033 ),SQUARE( x2 ) ) ),SQUARE( DIV( -0.844901,x0 ) ) ) ) ),SUB( MUL( MUL( x3,-1.947062 ),1.755814 ),x6 ) ) ),MUL( SQUARE( -1.357137 ),ADD( x1,DIV( SQUARE( MUL( -0.007305,x6 ) ),SUB( SQUARE( -1.947062 ),-0.920896 ) ) ) ) ),DIV( MUL( -0.937033,SUB( DIV( x2,x1 ),DIV( x4,-0.981864 ) ) ),SQUARE( DIV( -0.844901,x0 ) ) ) ) ) ) ) ),SUB( MUL( -0.007305,1.755814 ),x6 ) ) ) ) ),DIV( MUL( -0.937033,SUB( DIV( x2,x1 ),DIV( x4,MUL( x3,-1.947062 ) ) ) ),SQUARE( DIV( -0.844901,x0 ) ) ) ),ADD( ADD( SQUARE( x3 ),ADD( ADD( 1.619317,-0.160146 ),SQUARE( 1.897617 ) ) ),ADD( MUL( -0.402621,DIV( SQUARE( MUL( -0.007305,x6 ) ),-0.844901 ) ),SUB( SQUARE( -0.937033 ),SQUARE( x6 ) ) ) ) )",[ 0 0 0 1 4 7 13 22 34 44 63 82 104 144 183 214 235 253 279 294 315 297 291 300 280 296 272 260 258 278 288 307 280 293 293 281 291 272 265 280 271 285 286 289 286 280 260 268 287 295 294 292 262 271 279 ]
1002_450_SB9,0.01122526,0.011600777,-2,2,3,7,45,45,450,10,2,5,3,0.25,0.35,0.7,0.5,1.00000000e-06,0.3,187.45558,"DIV( SUB( ADD( SUB( DIV( -0.402621,-0.826692 ),MUL( x3,-0.340557 ) ),MUL( SQUARE( -1.357137 ),ADD( x4,x2 ) ) ),DIV( MUL( SUB( MUL( DIV( x2,x1 ),DIV( -0.844901,-0.056827 ) ),-1.866747 ),SQUARE( -1.319262 ) ),SQUARE( DIV( -0.844901,-0.056827 ) ) ) ),ADD( ADD( DIV( SQUARE( -0.658553 ),SUB( x6,-0.601495 ) ),SUB( DIV( x4,x0 ),SUB( -1.866747,1.029579 ) ) ),ADD( MUL( SUB( DIV( -0.402621,-0.826692 ),MUL( x3,-1.947062 ) ),SUB( x2,x1 ) ),SUB( SQUARE( -0.937033 ),SQUARE( -0.658553 ) ) ) ) )",[ 0 0 0 1 4 7 13 22 34 44 63 84 112 149 183 240 223 222 233 247 254 247 261 259 253 260 255 246 243 263 283 301 291 288 286 296 300 320 317 309 301 288 298 285 301 294 278 281 294 310 309 306 319 303 299 302 335 300 ]
